,idade,individuo_id,area_foliar_especifica,area_foliar_individual,comprimento_foliar,largura_foliar,potencial_hidrico_foliar,target_final
151,6,2560.0,167.06,19.66,8.17,3.43,-2.06,0
152,6,3268.0,121.22,36.98,12.61,4.47,,0
153,6,3858.0,140.96,42.9,11.53,5.33,-2.22,0
154,6,535.0,153.52,39.4,12.37,4.76,-1.66,1
155,18,535.0,87.45,41.58,16.28,4.23,-2.0,1
156,30,535.0,86.0,37.34,15.9,3.76,-3.35,1
157,36,535.0,104.22,31.54,12.8,3.95,-2.48,1
158,6,1139.0,,,,,-2.35,1
159,18,1139.0,83.91,32.41,16.64,3.21,-2.5,1
160,36,1139.0,76.88,40.09,15.42,4.08,-1.63,1
161,6,2102.0,97.29,26.65,12.11,3.0,-2.2,1
162,6,2574.0,101.95,20.02,10.97,3.05,-2.5,0
163,18,2574.0,72.01,30.69,16.14,2.5,-2.08,0
164,6,3203.0,90.1,23.96,11.08,3.67,,0
165,18,3203.0,93.01,21.76,15.79,3.48,-2.89,0
166,6,4318.0,156.62,52.52,12.69,5.69,-2.0,1
167,36,4318.0,91.59,56.42,15.86,5.07,-1.59,1
168,6,540.0,,37.79,13.27,4.32,-1.84,1
169,18,540.0,82.18,35.25,17.62,3.24,-2.36,1
170,6,1295.0,117.3,35.49,11.57,4.54,-2.48,0
171,18,1295.0,101.32,38.23,13.97,4.54,-3.91,0
172,6,1844.0,139.96,19.4,9.77,2.91,-3.0,1
173,18,1844.0,77.97,46.45,20.52,4.19,-2.21,1
174,30,1844.0,94.57,30.94,17.72,2.83,-3.72,1
175,36,1844.0,89.93,44.11,20.59,3.75,-2.78,1
176,6,2556.0,124.24,15.38,7.36,3.09,-2.26,1
177,18,2556.0,94.08,23.66,13.53,3.09,-2.41,1
178,30,2556.0,122.41,20.5,8.67,3.64,-3.7,1
179,36,2556.0,134.92,23.68,11.46,3.04,-2.53,1
180,6,3171.0,100.71,35.5,13.79,3.79,-2.4,1
181,18,3171.0,69.2,33.91,16.81,3.32,-2.46,1
182,36,3171.0,97.32,36.4,18.83,3.15,-2.37,1
183,6,3800.0,125.14,24.53,12.06,3.26,-2.03,1
184,18,3800.0,,,,,-2.64,1
185,30,3800.0,89.63,22.71,12.1,2.9,-3.72,1
186,6,466.0,148.23,14.67,7.31,2.97,-3.0,0
187,18,466.0,96.23,35.6,14.86,3.89,-3.1,0
188,6,1290.0,89.31,27.79,9.72,4.06,-2.88,0
189,18,1290.0,76.81,38.91,12.92,4.75,-1.89,0
190,6,1897.0,124.65,17.54,7.89,3.61,-2.7,0
191,18,1897.0,,,,,-3.17,0
192,6,2582.0,124.19,19.49,9.88,3.21,-2.11,0
193,18,2582.0,95.94,20.72,14.22,2.43,-1.74,0
194,6,3135.0,124.32,21.52,10.64,3.69,,0
195,18,3135.0,104.58,27.61,13.65,3.38,-3.15,0
196,6,3769.0,118.52,16.23,8.16,3.29,-2.82,0
197,18,3769.0,85.29,28.62,14.61,3.46,,0
198,6,559.0,114.13,37.69,14.38,4.1,-1.8,1
199,6,1185.0,119.34,40.65,12.12,5.31,-1.9,0
200,6,1806.0,131.63,14.67,8.02,2.84,-1.96,1
201,6,2535.0,106.5,34.49,11.25,4.93,-1.73,1
202,6,3145.0,118.4,36.99,10.32,5.08,,0
203,6,3831.0,,,11.53,5.21,-2.18,0
204,6,479.0,134.91,53.37,13.61,5.64,-2.06,1
205,36,479.0,123.96,42.49,16.11,3.96,-2.3,1
206,6,1267.0,,,,,-2.1,0
207,6,2099.0,122.01,29.71,9.16,4.71,-2.16,1
208,6,2494.0,96.67,33.64,10.33,5.34,-1.97,0
209,6,3350.0,127.98,47.48,11.98,5.98,,1
210,6,3770.0,123.3,48.17,12.25,5.98,-1.58,1
211,6,471.0,119.11,52.73,15.03,5.66,-2.35,1
212,18,471.0,80.88,42.0,17.56,3.94,-1.84,1
213,30,471.0,88.41,32.01,14.59,3.49,-2.73,1
214,6,1287.0,96.79,54.75,14.06,5.85,-2.6,0
215,18,1287.0,84.32,37.25,13.64,4.75,-2.72,0
216,6,2176.0,122.66,47.89,12.95,5.58,-2.25,0
217,6,2607.0,106.23,53.31,10.93,7.04,-2.43,1
218,18,2607.0,88.11,38.49,17.48,6.82,-2.6,1
219,36,2607.0,90.91,39.5,10.15,4.92,-3.12,1
